story	-12.026714
cay	-13.413009
hardcore	-12.719861
unit	-12.314396
mass	-12.719861
une	-12.719861
silvio	-13.413009
avatar	-10.234955
demi	-13.413009
bibi	-12.026714
iraq	-12.314396
italian	-13.413009
units	-12.314396
kurd	-12.314396
canidae	-12.719861
sibiu	-12.719861
langue	-13.413009
qua	-13.413009
murasaki	-13.413009
till	-12.719861
hubbard	-12.314396
soccer	-12.314396
cartoon	-11.015113
hedgehog	-11.333567
trading	-12.719861
mining	-13.413009
iphone	-10.64042
awakening	-13.413009
banner	-12.719861
noda	-13.413009
tome	-12.719861
dress	-13.413009
avn	-12.719861
senza	-13.413009
mammals	-12.719861
baye	-13.413009
toyotomi	-13.413009
refer	-13.413009
hatoyama	-13.413009
eggs	-12.314396
fusing	-13.413009
imani	-13.413009
kirundi	-12.719861
ostankino	-12.719861
debeaumarché	-13.413009
kōchi	-13.413009
polandball	-12.719861
krautchan	-13.413009
albaniya	-10.194133
azerbaijans	-12.719861
nayo	-13.413009
attenboro	-13.413009
cib	-12.026714
bak	-13.413009
sam	-12.719861
haj	-12.719861
si	-10.117171
lij	-13.413009
yen	-11.803571
vah	-13.413009
bi	-11.110423
iq	-11.467098
cin	-10.773952
xiàn	-13.413009
song	-11.333567
ik	-11.467098
sang	-13.413009
hai	-13.413009
dàxué	-12.719861
joseph	-11.621249
di	-9.82949
argentina	-10.045712
go	-13.413009
dai	-12.719861
ok	-13.413009
bc	-12.026714
austria	-12.719861
dang	-13.413009
guǎngxī	-13.413009
johann	-12.314396
al	-9.285874
saint	-11.215784
an	-9.699436
wien	-12.719861
massachusetts	-12.719861
santiago	-12.719861
oblast	-12.314396
elizabeth	-12.719861
israel	-12.719861
aires	-13.413009
buenos	-11.333567
ibn	-7.715915
italia	-12.314396
montevideo	-12.314396
michelangelo	-12.719861
osman	-9.82949
greek	-12.719861
turkish	-11.621249
cháo	-12.719861
osmanlı	-7.521364
volga	-13.413009
taranto	-12.719861
yin	-12.719861
bau	-13.413009
ulan	-13.413009
duz	-10.080804
shīfàn	-13.413009
von	-11.110423
william	-10.773952
friedrich	-13.413009
m	-7.8370595
charles	-11.333567
alexander	-11.803571
karl	-9.5628605
l	-9.136342
louis	-12.026714
ludwig	-12.026714
hermann	-12.719861
rudolf	-12.026714
françois	-12.719861
julius	-12.719861
adolf	-10.417276
arthur	-12.719861
paris	-8.797888
rom	-12.314396
finland	-12.026714
río	-13.413009
ii	-7.632265
fischer	-13.413009
jordan	-12.719861
emil	-10.84806
josef	-12.719861
oliver	-11.803571
st	-11.015113
latin	-11.803571
wilson	-13.413009
don	-10.011811
via	-13.413009
president	-8.409062
punta	-12.719861
mountain	-13.413009
benjamin	-12.719861
you	-9.724129
cook	-12.719861
christopher	-12.026714
luis	-9.699436
kim	-9.584367
ci	-4.997848
silva	-12.719861
são	-12.719861
hu	-10.84806
abraham	-11.803571
can	-9.916501
eu	-12.719861
madrid	-10.117171
paulo	-11.467098
bei	-12.719861
dan	-9.1935005
boston	-11.333567
muhammad	-12.026714
franklin	-11.803571
ho	-12.026714
q	-9.223353
andrea	-11.803571
toronto	-12.314396
puerto	-10.277514
isbn	-9.481183
din	-8.924372
good	-11.621249
oman	-10.579795
lu	-11.467098
pakistan	-9.724129
afghanistan	-11.621249
islam	-9.269874
ra	-11.333567
abu	-11.467098
war	-10.64042
sing	-12.719861
kon	-12.719861
monaco	-13.413009
angola	-13.413009
over	-12.719861
virgin	-11.333567
trinidad	-11.333567
army	-12.026714
zealand	-12.314396
nations	-13.413009
paraguay	-13.413009
nepal	-10.84806
darwin	-12.719861
bing	-13.413009
guyana	-13.413009
born	-12.026714
ah	-11.467098
caesar	-13.413009
montreal	-11.621249
barbuda	-12.314396
est	-12.026714
ki	-7.168842
tau	-11.803571
plata	-11.110423
zero	-12.719861
andorra	-10.579795
view	-12.314396
va	-10.928102
hamlet	-10.64042
oka	-12.314396
aids	-13.413009
concepción	-13.413009
nobel	-9.0062895
stalin	-10.928102
baltic	-12.314396
doi	-12.026714
gaius	-13.413009
ak	-11.015113
esperanto	-11.215784
nauru	-12.314396
dante	-12.026714
luxembourg	-13.413009
nevis	-11.803571
curitiba	-13.413009
mae	-12.719861
commonwealth	-12.314396
h2o	-12.719861
dhabi	-13.413009
cromwell	-13.413009
saavedra	-13.413009
moscow	-12.314396
lhasa	-12.314396
tuvalu	-12.719861
cu	-6.636502
cairo	-13.413009
mendel	-13.413009
cn	-12.026714
türkiye	-11.110423
sat	-12.719861
dien	-13.413009
saudi	-13.413009
belarus	-10.522636
notoc	-12.719861
nay	-13.413009
bahasa	-11.803571
ān	-13.413009
shì	-13.413009
persian	-12.026714
artiodactyla	-12.026714
cumhuriyeti	-12.719861
ottoman	-12.719861
devleti	-12.719861
noeditsection	-13.413009
saratov	-11.803571
ukraine	-12.719861
armenia	-12.314396
azerbaijan	-10.417276
bit	-10.704958
arenas	-13.413009
raffaello	-13.413009
lao	-11.333567
kabul	-12.719861
españa	-12.719861
faust	-12.719861
astana	-11.621249
umar	-13.413009
lolita	-13.413009
lorca	-13.413009
puglia	-12.314396
gai	-12.719861
kyrgyzstan	-13.413009
tili	-12.314396
hab	-13.413009
vei	-13.413009
devlet	-12.026714
cosmetic	-12.314396
manq	-13.413009
haiti	-10.64042
sim	-11.803571
rf	-12.719861
hau	-12.314396
libya	-13.413009
arabic	-12.314396
buz	-10.080804
tajikistan	-13.413009
forms	-13.413009
soh	-13.413009
